date,wdir,wspd,pres
2016-11-28,167,11.4,1014.6
2016-11-29,174,13.6,1012
2016-11-30,209,15.1,1009.4
2016-12-01,186,10.8,1007.4
2016-12-02,214,15.6,1011.8
2016-12-03,197,11.6,1014.5
2016-12-04,354,22.3,1008.2
2016-12-05,200,25.2,1010.2
2016-12-06,171,12.8,1013.6
2016-12-07,4,12.8,1011.7
2016-12-08,315,39.1,1000.5
2016-12-09,212,24.6,1016.4
2016-12-10,193,15.8,1022.6
2016-12-11,177,15.3,1022.5
2016-12-12,343,15.5,1016.8
2016-12-13,345,27.7,1007
2016-12-14,194,25.6,1012.4
2016-12-15,181,21.3,1017.3
2016-12-16,327,17.8,1009
2016-12-17,246,25.6,1010.6
2016-12-18,195,19.7,1020.6
2016-12-19,350,24.5,1011.5
2016-12-20,217,20.6,1007.5
2016-12-21,209,20.8,1016.6
2016-12-22,169,18.8,1018.5
2016-12-23,228,15.5,1012.5
2016-12-24,353,18.4,1010.2
2016-12-25,10,20.5,1010.6
2016-12-26,202,24.1,1009
2016-12-27,72,11.7,1010
2016-12-28,2,31.5,1001.3
2016-12-29,8,23.4,1002
2016-12-30,201,15.8,1000.9
2016-12-31,195,14.9,1005.5
2017-01-01,181,15.5,1007.6
2017-01-02,199,23.1,1017
2017-01-03,182,17.6,1020.1
2017-01-04,232,15.3,1016.3
2017-01-05,294,18,1014.8
2017-01-06,175,10.7,1014.2
2017-01-07,5,21.7,1009.8
2017-01-08,86,26.9,1006.8
2017-01-09,170,12.4,1011.4
2017-01-10,215,14.9,1010.4
2017-01-11,204,17.7,1011.1
2017-01-12,201,11.8,1010.3
2017-01-13,328,19.2,1000.1
2017-01-14,255,23.9,1009.9
2017-01-15,201,15.5,1017.5
2017-01-16,360,8,1013.1
2017-01-17,318,22.1,1007.3
2017-01-18,182,24.2,1013.7
2017-01-19,177,13.3,1009.9
2017-01-20,223,26.1,1001.6
2017-01-21,186,17.8,1014.1
2017-01-22,179,11.4,1013.4
2017-01-23,345,18.8,1005
2017-01-24,203,26.2,1013.1
2017-01-25,177,16.7,1019.3
2017-01-26,182,18.5,1018.5
2017-01-27,159,13.8,1015.5
2017-01-28,233,16.9,1013.9
2017-01-29,159,11.2,1014.8
2017-01-30,333,23.7,1006.9
2017-01-31,191,20.5,1013.8
2017-02-01,151,11.2,1014.3
2017-02-02,235,16.8,1015.2
2017-02-03,251,11.1,1014.2
2017-02-04,320,16.8,1009.5
2017-02-05,335,19.1,1007
2017-02-06,165,20.5,1015.5
2017-02-07,175,17.2,1019.4
2017-02-08,0,24.9,1015.4
2017-02-09,339,38.8,1009.9
2017-02-10,190,9.9,1010
2017-02-11,188,13.2,1007.9
2017-02-12,227,24.5,1008.6
2017-02-13,224,23,1013.3
2017-02-14,194,16.6,1018.1
2017-02-15,346,23.3,1010.6
2017-02-16,171,15.8,1009.7
2017-02-17,241,14.9,1008.8
2017-02-18,215,15.9,1010.7
2017-02-19,287,21.4,1009.8
2017-02-20,241,24.3,1013.5
2017-02-21,275,12.9,1019
2017-02-22,357,27.3,1012.5
2017-02-23,195,15.1,1017.2
2017-02-24,183,22.5,1024
2017-02-25,171,21.8,1022.9
2017-02-26,142,12.2,1019.8
2017-02-27,16,17.3,1020.8
2017-02-28,39,19.5,1020.4
2017-03-01,2,14.9,1019.7
2017-03-02,195,13,1019.5
2017-03-03,179,20.7,1020.4
2017-03-04,242,13.4,1016
2017-03-05,196,21,1014.9
2017-03-06,161,24.1,1016.3
2017-03-07,186,12.2,1017.7
2017-03-08,20,15.2,1016.5
2017-03-09,30,15.5,1015.4
2017-03-10,215,11.1,1015.8
2017-03-11,179,10.7,1011.1
2017-03-12,358,17.3,1003.2
2017-03-13,222,15.4,1013.3
2017-03-14,73,14,1017
2017-03-15,2,26.4,1013.3
2017-03-16,258,26.2,1011.5
2017-03-17,187,23.3,1022.8
2017-03-18,70,12.8,1023.1
2017-03-19,6,17.8,1017.4
2017-03-20,253,13.7,1014.7
2017-03-21,287,12.6,1011.6
2017-03-22,181,25.9,1015.7
2017-03-23,165,16.8,1019.3
2017-03-24,297,9.1,1017.5
2017-03-25,348,20.7,1012.3
2017-03-26,191,8.4,1013.3
2017-03-27,337,31.2,
2017-03-28,339,10.9,1012.8
2017-03-29,329,25.7,
2017-03-30,238,19.4,
2017-03-31,232,11.9,1020.3
2017-04-01,241,20.2,
2017-04-02,175,19.5,1029.1
2017-04-03,215,10.9,1029.6
2017-04-04,39,12.7,
2017-04-05,8,18.3,
2017-04-06,0,20.5,
2017-04-07,358,24.4,1021.9
2017-04-08,356,31.8,1015.8
2017-04-09,308,25.7,1005.7
2017-04-10,223,30.8,1015.6
2017-04-11,201,18.5,1023.4
2017-04-12,232,10.8,1024.7
2017-04-13,274,10.7,1022.9
2017-04-14,222,12.9,1023.2
2017-04-15,234,8.9,1020.9
2017-04-16,316,12.4,1019.5
2017-04-17,230,8.5,1022.6
2017-04-18,,9,1025.8
2017-04-19,351,18.5,1025.8
2017-04-20,16,25.2,1023.5
2017-04-21,16,27.6,1020.3
2017-04-22,355,23.7,1022.3
2017-04-23,284,10.9,1023.3
2017-04-24,,9.8,1017.2
2017-04-25,308,16.6,1007.2
2017-04-26,237,24.5,1011.8
2017-04-27,246,15.5,1022.1
2017-04-28,281,14.4,1022.8
2017-04-29,238,13.8,1022.3
2017-04-30,325,12.2,1021.3
2017-05-01,340,19.8,1015.3
2017-05-02,259,18.9,1020.9
2017-05-03,214,10.2,1029.3
2017-05-04,348,10.5,1030.1
2017-05-05,2,18.2,1025.7
2017-05-06,321,21.4,1020.1
2017-05-07,245,20.5,1028.1
2017-05-08,219,16.4,1030.5
2017-05-09,214,11.3,1028.4
2017-05-10,12,8.5,986.9
2017-05-11,346,10.6,1025
2017-05-12,333,16.1,1024.2
2017-05-13,239,8.6,1024.4
2017-05-14,231,9.4,1022.7
2017-05-15,233,8.6,1020
2017-05-16,19,12.4,1018.1
2017-05-17,33,15.7,1019.4
2017-05-18,1,8.6,1022.2
2017-05-19,21,11.4,1018.7
2017-05-20,6,20.1,1016.8
2017-05-21,357,21.3,1019.4
2017-05-22,5,27.7,1019.7
2017-05-23,357,27.8,1015.6
2017-05-24,313,17.8,1016.1
2017-05-25,344,17,1019.6
2017-05-26,319,14.2,1020.4
2017-05-27,5,29.5,1014.3
2017-05-28,300,20.9,1008.9
2017-05-29,314,19,1018.4
2017-05-30,269,23.8,1022.9
2017-05-31,235,18.7,1032.5
2017-06-01,239,10.1,1036.2
2017-06-02,241,9.9,1035.5
2017-06-03,296,8.1,1032.3
2017-06-04,353,11.6,1027.9
2017-06-05,324,18.5,1023.3
2017-06-06,217,20.7,1026.2
2017-06-07,,10.5,1028.9
2017-06-08,308,12.5,1028
2017-06-09,217,11.6,1032.2
2017-06-10,,5.6,1033
2017-06-11,334,15.2,1027.5
2017-06-12,293,16.9,1026.7
2017-06-13,305,8.4,1030.5
2017-06-14,341,13.8,1028.4
2017-06-15,1,19.2,1026.3
2017-06-16,5,11.8,1024.8
2017-06-17,351,11.7,1025.1
2017-06-18,349,8.5,1028.9
2017-06-19,332,12.9,1030.4
2017-06-20,359,24.2,1026.6
2017-06-21,,12.1,1027.7
2017-06-22,358,16.3,1025.7
2017-06-23,355,23.3,1016.5
2017-06-24,279,13.3,1017.3
2017-06-25,330,18.2,1016.9
2017-06-26,,9,1023
2017-06-27,4,16.2,1024.4
2017-06-28,354,17.5,1022.6
2017-06-29,291,20.8,1022.6
2017-06-30,231,12.7,1029.6
2017-07-01,3,19.9,
2017-07-02,4,26.4,1022.2
2017-07-03,5,24.8,1010.5
2017-07-04,347,21.8,1007.4
2017-07-05,303,16,1012.1
2017-07-06,347,20.8,1014.8
2017-07-07,353,24.4,1009.9
2017-07-08,344,23.7,1013.7
2017-07-09,339,21.9,1017.6
2017-07-10,334,20.5,1024.6
2017-07-11,339,8.7,1032.1
2017-07-12,7,19.3,1031.3
2017-07-13,7,42.2,1019.8
2017-07-14,327,28,1013.4
2017-07-15,317,13.8,1019.6
2017-07-16,6,32.7,1018.4
2017-07-17,1,40.1,1010.7
2017-07-18,347,21.9,1006.8
2017-07-19,238,24.1,1013
2017-07-20,245,23.6,1018.8
2017-07-21,6,12.9,1022.5
2017-07-22,4,37.4,1017.1
2017-07-23,341,28.3,1013
2017-07-24,331,17.8,1018.5
2017-07-25,354,31.7,1014.8
2017-07-26,282,19,1018.3
2017-07-27,5,29.4,1018.7
2017-07-28,292,17.5,1017.7
2017-07-29,359,55.3,1009.3
2017-07-30,316,19.3,1010.9
2017-07-31,350,10.9,1019.2
2017-08-01,16,11.7,1025.7
2017-08-02,295,8.7,1024
2017-08-03,324,9.5,1014.1
2017-08-04,337,20,1005.9
2017-08-05,347,30.3,1005.9
2017-08-06,354,27.3,1002.4
2017-08-07,283,22.2,1007.3
2017-08-08,288,18.3,1019.5
2017-08-09,6,29.1,1019.7
2017-08-10,4,47.2,1008.8
2017-08-11,314,20.2,1012.3
2017-08-12,321,21.7,1017.3
2017-08-13,5,27.2,1018.6
2017-08-14,5,33.5,1013.6
2017-08-15,352,32,1002.5
2017-08-16,299,32.9,998.3
2017-08-17,311,24.5,1002.1
2017-08-18,266,28.4,1011.2
2017-08-19,219,16.4,1024.9
2017-08-20,358,10,1023.3
2017-08-21,7,19.5,1015.6
2017-08-22,341,16.8,1018
2017-08-23,315,19.9,1018
2017-08-24,236,16.8,1023
2017-08-25,281,11.7,1026.3
2017-08-26,308,14.2,1022.7
2017-08-27,209,21.9,1022.4
2017-08-28,217,12.3,1024
2017-08-29,305,9.7,1022.7
2017-08-30,238,16.9,1026.9
2017-08-31,266,9.9,1028.6
2017-09-01,5,22.9,1022
2017-09-02,4,36.1,1014.1
2017-09-03,325,31,1003.6
2017-09-04,293,29,1004.7
2017-09-05,282,29.8,1007.4
2017-09-06,271,23,1014.1
2017-09-07,283,22.1,1017.8
2017-09-08,250,23,1021.9
2017-09-09,238,17.8,1024.7
2017-09-10,298,10.9,1021.9
2017-09-11,3,38.6,1013.4
2017-09-12,343,18.7,1007.8
2017-09-13,294,25.6,1005.8
2017-09-14,264,26.7,1014.9
2017-09-15,308,18.7,1017.1
2017-09-16,228,20.9,1022.5
2017-09-17,358,28.3,1023.4
2017-09-18,349,38.2,1012.7
2017-09-19,251,21.5,1018.8
2017-09-20,1,25.1,1018.2
2017-09-21,9,34.3,1010.8
2017-09-22,20,19.1,1007.5
2017-09-23,351,31,996.7
2017-09-24,311,29.2,999.4
2017-09-25,251,18.6,1009.4
2017-09-26,293,10.7,1016.1
2017-09-27,341,19.3,1005.5
2017-09-28,264,20.1,1008.6
2017-09-29,328,19.3,1012.4
2017-09-30,251,24.4,1017.3
2017-10-01,261,14.7,1022.5
2017-10-02,244,9.5,1023.6
2017-10-03,309,15.4,1021.4
2017-10-04,350,14.3,1019
2017-10-05,291,26.4,1014.3
2017-10-06,194,24.8,1022.4
2017-10-07,22,14.9,1018.9
2017-10-08,358,39.3,1009.9
2017-10-09,235,25.9,1011.5
2017-10-10,271,11.5,1016.2
2017-10-11,359,31.1,1007.6
2017-10-12,278,20.5,1013.4
2017-10-13,259,13.8,1019.4
2017-10-14,214,13,1024.4
