STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ASN00086282,"MELBOURNE AIRPORT, AS",26/04/2016,0,67,78,48
ASN00086282,"MELBOURNE AIRPORT, AS",27/04/2016,0,70,75,57
ASN00086282,"MELBOURNE AIRPORT, AS",28/04/2016,0,67,74,64
ASN00086282,"MELBOURNE AIRPORT, AS",29/04/2016,0.8,62,66,60
ASN00086282,"MELBOURNE AIRPORT, AS",30/04/2016,4.6,65,74,59
ASN00086282,"MELBOURNE AIRPORT, AS",01/05/2016,6.6,52,62,56
ASN00086282,"MELBOURNE AIRPORT, AS",02/05/2016,0,58,64,45
ASN00086282,"MELBOURNE AIRPORT, AS",03/05/2016,0,55,67,52
ASN00086282,"MELBOURNE AIRPORT, AS",04/05/2016,0.8,57,63,44
ASN00086282,"MELBOURNE AIRPORT, AS",05/05/2016,0,62,70,51
ASN00086282,"MELBOURNE AIRPORT, AS",06/05/2016,0,63,77,57
ASN00086282,"MELBOURNE AIRPORT, AS",07/05/2016,0,66,78,49
ASN00086282,"MELBOURNE AIRPORT, AS",08/05/2016,4,64,66,58
ASN00086282,"MELBOURNE AIRPORT, AS",09/05/2016,1.6,60,70,59
ASN00086282,"MELBOURNE AIRPORT, AS",10/05/2016,10.6,56,62,54
ASN00086282,"MELBOURNE AIRPORT, AS",11/05/2016,0,59,62,51
ASN00086282,"MELBOURNE AIRPORT, AS",12/05/2016,0,63,71,55
ASN00086282,"MELBOURNE AIRPORT, AS",13/05/2016,0,61,71,56
ASN00086282,"MELBOURNE AIRPORT, AS",14/05/2016,0,63,70,54
ASN00086282,"MELBOURNE AIRPORT, AS",15/05/2016,0,56,70,55
ASN00086282,"MELBOURNE AIRPORT, AS",16/05/2016,0,60,66,43
ASN00086282,"MELBOURNE AIRPORT, AS",17/05/2016,0.4,57,63,52
ASN00086282,"MELBOURNE AIRPORT, AS",18/05/2016,0,59,67,53
ASN00086282,"MELBOURNE AIRPORT, AS",19/05/2016,0,58,64,54
ASN00086282,"MELBOURNE AIRPORT, AS",20/05/2016,1,52,63,48
ASN00086282,"MELBOURNE AIRPORT, AS",21/05/2016,0,57,65,43
ASN00086282,"MELBOURNE AIRPORT, AS",22/05/2016,0,62,69,50
ASN00086282,"MELBOURNE AIRPORT, AS",23/05/2016,0.8,53,61,52
ASN00086282,"MELBOURNE AIRPORT, AS",24/05/2016,1.6,52,61,47
ASN00086282,"MELBOURNE AIRPORT, AS",25/05/2016,0,52,60,45
ASN00086282,"MELBOURNE AIRPORT, AS",26/05/2016,11.4,48,52,49
ASN00086282,"MELBOURNE AIRPORT, AS",27/05/2016,6.4,48,58,43
ASN00086282,"MELBOURNE AIRPORT, AS",28/05/2016,0.4,50,56,38
ASN00086282,"MELBOURNE AIRPORT, AS",29/05/2016,1.4,46,55,47
ASN00086282,"MELBOURNE AIRPORT, AS",30/05/2016,0,45,57,39
ASN00086282,"MELBOURNE AIRPORT, AS",31/05/2016,0,48,62,34
ASN00086282,"MELBOURNE AIRPORT, AS",01/06/2016,0,48,61,39
ASN00086282,"MELBOURNE AIRPORT, AS",02/06/2016,0,48,56,36
ASN00086282,"MELBOURNE AIRPORT, AS",03/06/2016,0,51,57,43
ASN00086282,"MELBOURNE AIRPORT, AS",04/06/2016,5.4,54,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",05/06/2016,4,52,57,51
ASN00086282,"MELBOURNE AIRPORT, AS",06/06/2016,5,51,56,44
ASN00086282,"MELBOURNE AIRPORT, AS",07/06/2016,0,53,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",08/06/2016,1.6,54,56,45
ASN00086282,"MELBOURNE AIRPORT, AS",09/06/2016,1,53,63,50
ASN00086282,"MELBOURNE AIRPORT, AS",10/06/2016,0.4,51,59,45
ASN00086282,"MELBOURNE AIRPORT, AS",11/06/2016,5.4,46,55,43
ASN00086282,"MELBOURNE AIRPORT, AS",12/06/2016,0.4,45,56,39
ASN00086282,"MELBOURNE AIRPORT, AS",13/06/2016,0,50,55,38
ASN00086282,"MELBOURNE AIRPORT, AS",14/06/2016,0,50,58,44
ASN00086282,"MELBOURNE AIRPORT, AS",15/06/2016,0,51,63,43
ASN00086282,"MELBOURNE AIRPORT, AS",16/06/2016,0,53,56,44
ASN00086282,"MELBOURNE AIRPORT, AS",17/06/2016,3.2,54,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",18/06/2016,16.6,48,53,49
ASN00086282,"MELBOURNE AIRPORT, AS",19/06/2016,0.2,52,54,41
ASN00086282,"MELBOURNE AIRPORT, AS",20/06/2016,7,51,54,48
ASN00086282,"MELBOURNE AIRPORT, AS",21/06/2016,5.2,51,57,46
ASN00086282,"MELBOURNE AIRPORT, AS",22/06/2016,0.2,53,59,47
ASN00086282,"MELBOURNE AIRPORT, AS",23/06/2016,0,48,56,48
ASN00086282,"MELBOURNE AIRPORT, AS",24/06/2016,10.4,42,49,40
ASN00086282,"MELBOURNE AIRPORT, AS",25/06/2016,0,44,53,35
ASN00086282,"MELBOURNE AIRPORT, AS",26/06/2016,0,45,50,36
ASN00086282,"MELBOURNE AIRPORT, AS",27/06/2016,0.2,46,51,41
ASN00086282,"MELBOURNE AIRPORT, AS",28/06/2016,0.2,51,61,41
ASN00086282,"MELBOURNE AIRPORT, AS",29/06/2016,0,51,59,45
ASN00086282,"MELBOURNE AIRPORT, AS",30/06/2016,0,47,51,47
ASN00086282,"MELBOURNE AIRPORT, AS",01/07/2016,3.6,52,56,42
ASN00086282,"MELBOURNE AIRPORT, AS",02/07/2016,0,54,59,48
ASN00086282,"MELBOURNE AIRPORT, AS",03/07/2016,0,53,61,47
ASN00086282,"MELBOURNE AIRPORT, AS",04/07/2016,0,49,53,49
ASN00086282,"MELBOURNE AIRPORT, AS",05/07/2016,2,51,53,44
ASN00086282,"MELBOURNE AIRPORT, AS",06/07/2016,24,51,53,46
ASN00086282,"MELBOURNE AIRPORT, AS",07/07/2016,10.6,50,54,49
ASN00086282,"MELBOURNE AIRPORT, AS",08/07/2016,0.6,49,60,45
ASN00086282,"MELBOURNE AIRPORT, AS",09/07/2016,0,50,58,40
ASN00086282,"MELBOURNE AIRPORT, AS",10/07/2016,0,52,54,42
ASN00086282,"MELBOURNE AIRPORT, AS",11/07/2016,3,54,58,51
ASN00086282,"MELBOURNE AIRPORT, AS",12/07/2016,0,44,55,49
ASN00086282,"MELBOURNE AIRPORT, AS",13/07/2016,0.8,46,51,38
ASN00086282,"MELBOURNE AIRPORT, AS",14/07/2016,0,49,55,39
ASN00086282,"MELBOURNE AIRPORT, AS",15/07/2016,0,49,55,44
ASN00086282,"MELBOURNE AIRPORT, AS",16/07/2016,0,46,57,39
ASN00086282,"MELBOURNE AIRPORT, AS",17/07/2016,0,54,59,36
ASN00086282,"MELBOURNE AIRPORT, AS",18/07/2016,0,57,66,48
ASN00086282,"MELBOURNE AIRPORT, AS",19/07/2016,0,53,59,52
ASN00086282,"MELBOURNE AIRPORT, AS",20/07/2016,1,50,59,46
ASN00086282,"MELBOURNE AIRPORT, AS",21/07/2016,2.6,58,63,42
ASN00086282,"MELBOURNE AIRPORT, AS",22/07/2016,8.4,52,63,53
ASN00086282,"MELBOURNE AIRPORT, AS",23/07/2016,1.2,43,51,43
ASN00086282,"MELBOURNE AIRPORT, AS",24/07/2016,0.4,46,53,36
ASN00086282,"MELBOURNE AIRPORT, AS",25/07/2016,0,48,56,41
ASN00086282,"MELBOURNE AIRPORT, AS",26/07/2016,2.6,47,50,40
ASN00086282,"MELBOURNE AIRPORT, AS",27/07/2016,0.2,47,53,44
ASN00086282,"MELBOURNE AIRPORT, AS",28/07/2016,0,51,60,41
ASN00086282,"MELBOURNE AIRPORT, AS",29/07/2016,0,51,58,46
ASN00086282,"MELBOURNE AIRPORT, AS",30/07/2016,2.2,52,57,45
ASN00086282,"MELBOURNE AIRPORT, AS",31/07/2016,0.2,55,61,48
ASN00086282,"MELBOURNE AIRPORT, AS",01/08/2016,2.6,49,56,51
ASN00086282,"MELBOURNE AIRPORT, AS",02/08/2016,9.2,49,54,40
ASN00086282,"MELBOURNE AIRPORT, AS",03/08/2016,2.4,46,54,44
ASN00086282,"MELBOURNE AIRPORT, AS",04/08/2016,0.4,45,56,38
ASN00086282,"MELBOURNE AIRPORT, AS",05/08/2016,0,47,59,36
ASN00086282,"MELBOURNE AIRPORT, AS",06/08/2016,0,50,56,38
ASN00086282,"MELBOURNE AIRPORT, AS",07/08/2016,0,49,60,42
ASN00086282,"MELBOURNE AIRPORT, AS",08/08/2016,0,51,56,39
ASN00086282,"MELBOURNE AIRPORT, AS",09/08/2016,0,54,62,48
ASN00086282,"MELBOURNE AIRPORT, AS",10/08/2016,0.6,49,59,45
ASN00086282,"MELBOURNE AIRPORT, AS",11/08/2016,3.8,50,57,39
ASN00086282,"MELBOURNE AIRPORT, AS",12/08/2016,0,49,57,41
ASN00086282,"MELBOURNE AIRPORT, AS",13/08/2016,0.6,52,58,42
ASN00086282,"MELBOURNE AIRPORT, AS",14/08/2016,0,53,62,44
ASN00086282,"MELBOURNE AIRPORT, AS",15/08/2016,0,54,63,45
ASN00086282,"MELBOURNE AIRPORT, AS",16/08/2016,0,57,64,47
ASN00086282,"MELBOURNE AIRPORT, AS",17/08/2016,0.4,51,59,51
ASN00086282,"MELBOURNE AIRPORT, AS",18/08/2016,0,62,68,41
ASN00086282,"MELBOURNE AIRPORT, AS",19/08/2016,0,47,60,56
ASN00086282,"MELBOURNE AIRPORT, AS",20/08/2016,6,51,55,41
ASN00086282,"MELBOURNE AIRPORT, AS",21/08/2016,0.4,51,57,47
ASN00086282,"MELBOURNE AIRPORT, AS",22/08/2016,1.8,49,62,47
ASN00086282,"MELBOURNE AIRPORT, AS",23/08/2016,2,45,57,42
ASN00086282,"MELBOURNE AIRPORT, AS",24/08/2016,0.2,47,56,35
ASN00086282,"MELBOURNE AIRPORT, AS",25/08/2016,0,47,55,40
ASN00086282,"MELBOURNE AIRPORT, AS",26/08/2016,0.2,50,55,40
ASN00086282,"MELBOURNE AIRPORT, AS",27/08/2016,0,52,60,41
ASN00086282,"MELBOURNE AIRPORT, AS",28/08/2016,0,53,65,47
ASN00086282,"MELBOURNE AIRPORT, AS",29/08/2016,0,56,65,45
ASN00086282,"MELBOURNE AIRPORT, AS",30/08/2016,0,56,62,46
ASN00086282,"MELBOURNE AIRPORT, AS",31/08/2016,0,57,67,53
ASN00086282,"MELBOURNE AIRPORT, AS",01/09/2016,1,52,59,48
ASN00086282,"MELBOURNE AIRPORT, AS",02/09/2016,4.4,52,56,48
ASN00086282,"MELBOURNE AIRPORT, AS",03/09/2016,1.2,52,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",04/09/2016,0.2,56,62,44
ASN00086282,"MELBOURNE AIRPORT, AS",05/09/2016,0,56,64,50
ASN00086282,"MELBOURNE AIRPORT, AS",06/09/2016,0,56,69,47
ASN00086282,"MELBOURNE AIRPORT, AS",07/09/2016,0,60,69,45
ASN00086282,"MELBOURNE AIRPORT, AS",08/09/2016,0,65,72,54
ASN00086282,"MELBOURNE AIRPORT, AS",09/09/2016,1.4,55,60,58
ASN00086282,"MELBOURNE AIRPORT, AS",10/09/2016,13.4,50,57,49
ASN00086282,"MELBOURNE AIRPORT, AS",11/09/2016,1.2,53,62,44
ASN00086282,"MELBOURNE AIRPORT, AS",12/09/2016,1.6,51,57,48
ASN00086282,"MELBOURNE AIRPORT, AS",13/09/2016,12.4,53,56,48
ASN00086282,"MELBOURNE AIRPORT, AS",14/09/2016,20.4,50,59,49
ASN00086282,"MELBOURNE AIRPORT, AS",15/09/2016,3.2,51,58,44
ASN00086282,"MELBOURNE AIRPORT, AS",16/09/2016,1.6,53,60,45
ASN00086282,"MELBOURNE AIRPORT, AS",17/09/2016,0,58,66,49
ASN00086282,"MELBOURNE AIRPORT, AS",18/09/2016,0.4,48,53,49
ASN00086282,"MELBOURNE AIRPORT, AS",19/09/2016,2.8,51,60,41
ASN00086282,"MELBOURNE AIRPORT, AS",20/09/2016,0,56,66,44
ASN00086282,"MELBOURNE AIRPORT, AS",21/09/2016,3,53,60,49
ASN00086282,"MELBOURNE AIRPORT, AS",22/09/2016,2.2,49,54,47
ASN00086282,"MELBOURNE AIRPORT, AS",23/09/2016,0.2,53,64,45
ASN00086282,"MELBOURNE AIRPORT, AS",24/09/2016,0,56,67,45
ASN00086282,"MELBOURNE AIRPORT, AS",25/09/2016,11.6,50,60,44
ASN00086282,"MELBOURNE AIRPORT, AS",26/09/2016,0.4,50,62,45
ASN00086282,"MELBOURNE AIRPORT, AS",27/09/2016,9,51,60,40
ASN00086282,"MELBOURNE AIRPORT, AS",28/09/2016,2,58,64,44
ASN00086282,"MELBOURNE AIRPORT, AS",29/09/2016,4.4,51,61,53
ASN00086282,"MELBOURNE AIRPORT, AS",30/09/2016,1.8,53,59,43
ASN00086282,"MELBOURNE AIRPORT, AS",01/10/2016,2,56,64,48
ASN00086282,"MELBOURNE AIRPORT, AS",02/10/2016,0,60,72,51
ASN00086282,"MELBOURNE AIRPORT, AS",03/10/2016,11.4,54,60,47
ASN00086282,"MELBOURNE AIRPORT, AS",04/10/2016,0.4,50,62,49
ASN00086282,"MELBOURNE AIRPORT, AS",05/10/2016,2.8,55,61,43
ASN00086282,"MELBOURNE AIRPORT, AS",06/10/2016,0.2,68,77,47
ASN00086282,"MELBOURNE AIRPORT, AS",07/10/2016,0,55,70,58
ASN00086282,"MELBOURNE AIRPORT, AS",08/10/2016,0.2,54,62,43
ASN00086282,"MELBOURNE AIRPORT, AS",09/10/2016,0,59,69,44
ASN00086282,"MELBOURNE AIRPORT, AS",10/10/2016,0.6,48,61,52
ASN00086282,"MELBOURNE AIRPORT, AS",11/10/2016,3.8,51,59,41
ASN00086282,"MELBOURNE AIRPORT, AS",12/10/2016,0.2,48,61,46
ASN00086282,"MELBOURNE AIRPORT, AS",13/10/2016,3.2,48,59,39
ASN00086282,"MELBOURNE AIRPORT, AS",14/10/2016,0,59,71,36
ASN00086282,"MELBOURNE AIRPORT, AS",15/10/2016,0,66,74,48
ASN00086282,"MELBOURNE AIRPORT, AS",16/10/2016,0,55,71,57
ASN00086282,"MELBOURNE AIRPORT, AS",17/10/2016,7.6,56,65,43
ASN00086282,"MELBOURNE AIRPORT, AS",18/10/2016,0.6,47,61,49
ASN00086282,"MELBOURNE AIRPORT, AS",19/10/2016,3.4,52,61,38
ASN00086282,"MELBOURNE AIRPORT, AS",20/10/2016,0,62,70,43
ASN00086282,"MELBOURNE AIRPORT, AS",21/10/2016,0,47,61,54
ASN00086282,"MELBOURNE AIRPORT, AS",22/10/2016,13.2,47,53,40
ASN00086282,"MELBOURNE AIRPORT, AS",23/10/2016,24.8,50,56,42
ASN00086282,"MELBOURNE AIRPORT, AS",24/10/2016,0.6,55,64,47
ASN00086282,"MELBOURNE AIRPORT, AS",25/10/2016,0,66,75,47
ASN00086282,"MELBOURNE AIRPORT, AS",26/10/2016,0,52,67,57
ASN00086282,"MELBOURNE AIRPORT, AS",27/10/2016,1.8,50,60,45
ASN00086282,"MELBOURNE AIRPORT, AS",28/10/2016,0,54,63,38
ASN00086282,"MELBOURNE AIRPORT, AS",29/10/2016,0,67,76,44
ASN00086282,"MELBOURNE AIRPORT, AS",30/10/2016,0,56,79,53
ASN00086282,"MELBOURNE AIRPORT, AS",31/10/2016,0.6,53,63,43
ASN00086282,"MELBOURNE AIRPORT, AS",01/11/2016,0.2,53,66,42
ASN00086282,"MELBOURNE AIRPORT, AS",02/11/2016,1.4,55,66,41
ASN00086282,"MELBOURNE AIRPORT, AS",03/11/2016,0,58,71,44
ASN00086282,"MELBOURNE AIRPORT, AS",04/11/2016,0,64,83,45
ASN00086282,"MELBOURNE AIRPORT, AS",05/11/2016,0,55,62,47
ASN00086282,"MELBOURNE AIRPORT, AS",06/11/2016,0,63,71,51
ASN00086282,"MELBOURNE AIRPORT, AS",07/11/2016,0,60,78,56
ASN00086282,"MELBOURNE AIRPORT, AS",08/11/2016,0.6,56,65,46
ASN00086282,"MELBOURNE AIRPORT, AS",09/11/2016,0,55,65,46
ASN00086282,"MELBOURNE AIRPORT, AS",10/11/2016,0,53,65,47
ASN00086282,"MELBOURNE AIRPORT, AS",11/11/2016,0,61,71,41
ASN00086282,"MELBOURNE AIRPORT, AS",12/11/2016,3.8,62,76,52
ASN00086282,"MELBOURNE AIRPORT, AS",13/11/2016,2.2,55,66,51
ASN00086282,"MELBOURNE AIRPORT, AS",14/11/2016,11.2,54,62,49
ASN00086282,"MELBOURNE AIRPORT, AS",15/11/2016,0,56,66,47
ASN00086282,"MELBOURNE AIRPORT, AS",16/11/2016,0,61,71,47
ASN00086282,"MELBOURNE AIRPORT, AS",17/11/2016,0,71,88,50
ASN00086282,"MELBOURNE AIRPORT, AS",18/11/2016,0,57,68,57
ASN00086282,"MELBOURNE AIRPORT, AS",19/11/2016,0,60,72,50
ASN00086282,"MELBOURNE AIRPORT, AS",20/11/2016,0,79,93,49
ASN00086282,"MELBOURNE AIRPORT, AS",21/11/2016,0,72,94,62
ASN00086282,"MELBOURNE AIRPORT, AS",22/11/2016,8.2,54,57,56
ASN00086282,"MELBOURNE AIRPORT, AS",23/11/2016,8,51,62,51
ASN00086282,"MELBOURNE AIRPORT, AS",24/11/2016,3.2,55,65,45
ASN00086282,"MELBOURNE AIRPORT, AS",25/11/2016,0,56,64,47
ASN00086282,"MELBOURNE AIRPORT, AS",26/11/2016,0,56,66,48
ASN00086282,"MELBOURNE AIRPORT, AS",27/11/2016,0,58,65,51
ASN00086282,"MELBOURNE AIRPORT, AS",28/11/2016,1,59,70,54
ASN00086282,"MELBOURNE AIRPORT, AS",29/11/2016,0,60,72,49
ASN00086282,"MELBOURNE AIRPORT, AS",30/11/2016,0,59,69,50
ASN00086282,"MELBOURNE AIRPORT, AS",01/12/2016,0,62,76,48
ASN00086282,"MELBOURNE AIRPORT, AS",02/12/2016,0,58,73,51
ASN00086282,"MELBOURNE AIRPORT, AS",03/12/2016,0,63,74,44
ASN00086282,"MELBOURNE AIRPORT, AS",04/12/2016,0,74,89,48
ASN00086282,"MELBOURNE AIRPORT, AS",05/12/2016,1,61,72,60
ASN00086282,"MELBOURNE AIRPORT, AS",06/12/2016,0,58,70,53
